playerId,season,name,team,position,situation,icetime,xGF60,xGA60,CF60,CA60,xGImpact,CFImpact,A160,G60
8471887,2022,Patric Hornqvist,FLA,R,all,12233.0,0.21768157291923995,0.3887519610114756,0.8768584854281594,0.6149705430035409,0.5010379501344905,0.7648129766376431,-0.13085929414234063,-1.263501034975161
8471887,2022,Patric Hornqvist,FLA,R,5on5,8902.0,-0.23899313220571905,-0.7556774660118408,-0.19465950617461503,-1.4072162340717542,-0.5052488488439406,-0.7342618422405437,-0.477694156630102,-0.8081652954061054
8475220,2022,Marcus Foligno,MIN,L,all,58464.0,-0.5834850569474346,-0.2930318926149441,-0.4665475084509234,-0.038047729561881995,-0.7806277817629385,-0.37786304489325184,-0.5755909062862494,-0.9231560375529642
8475220,2022,Marcus Foligno,MIN,L,5on5,48553.0,0.14652509133916117,-0.34195018795740845,0.23968981317334534,0.03653042425069458,-0.11031462822466816,0.32248696075514577,-0.3386053065345447,-0.4653027308170757
8481517,2022,Brett Leason,ANA,R,all,35290.0,-0.621386314179146,0.11904109818245663,-0.7582117824256144,-1.021936790894999,-0.6641127152268084,-0.8857190544625384,-1.2164470927771491,-0.4725843951831895
8481517,2022,Brett Leason,ANA,R,5on5,34760.0,-0.253419330371839,-0.9917843255145071,-0.6467095348327825,-1.3868890334252788,-0.7027159591535801,-0.9984490429894647,-1.1556558051317782,-0.1590351429968956
8474563,2022,Drew Doughty,LAK,D,other,6565.0,0.21673408799072302,0.9973691503457905,-0.34199210707095606,0.007207188437121188,0.6552008685222118,-0.13932546892283218,0.9507472434777262,-0.0785310931668616
8474563,2022,Drew Doughty,LAK,D,all,127473.0,0.7605035672934367,-0.2892667424716381,0.0015579042316429096,1.2150432728207163,0.3445706493859924,0.594006667196741,0.16092674488884923,0.23111921947106617
8474563,2022,Drew Doughty,LAK,D,5on5,96012.0,-0.7616655660852238,0.23112888267169646,-1.3919450450218824,1.654964861473706,-0.3747380013401712,0.09431985455238613,-0.8917510494461681,-0.26862692316921627
8474563,2022,Drew Doughty,LAK,D,4on5,10942.0,-0.60156766042727,-0.6952177310358315,0.10777565634940243,0.4517236336034905,-0.8526968711230203,0.36415187648464326,-0.47810528669010877,-0.33734369966975336
8474563,2022,Drew Doughty,LAK,D,5on4,13954.0,-0.924757185374024,0.5541331368290316,-0.8216466204394776,0.5710237769360101,-0.2029720513694839,0.019194732159129743,-0.28056134703937485,0.24403246199162137
8480208,2022,Drake Batherson,OTT,R,all,91542.0,1.335204815473291,0.8670866906510281,1.4417274900701693,1.1974797030749893,1.4331584824235304,1.3996329885992522,0.9830583349666381,0.15735361149088276
